word,length,syllable_types,difficulty_score,cluster_density,orthographic_transparency,consonant_clusters,syllable_boundary_ambiguity,meaningfulness_score,morphological_complexity,letter_confusability,ascender_descender_density,spatial_crowding
Malý,4,CVCV,2.0,0.5,1.1,"['m', 'l']",1,0.9,1.0,0,0.5,4.952005404599566
Pepík,5,CVCVC,2.5,0.6,1.1,"['p', 'p', 'k']",1,0.9,1.5,2,0.6,14.285714285714286
raději,6,CVCVCV,2.5,0.5,1.6500000000000001,"['r', 'd', 'j']",2,0.9,1.0,2,0.3333333333333333,8.545971792725043
četl,4,CVCC,3.0,0.75,1.1,"['č', 'tl']",1,0.9,1.0,0,0.25,7.263630076916605
doma,4,CVCV,2.0,0.5,1.0,"['d', 'm']",1,0.9,1.0,0,0.25,5.612445385133758
knížky,6,CCVCCV,3.0,0.6666666666666666,1.2100000000000002,"['kn', 'žk']",2,0.9,1.0,0,0.5,10.165157750188113
plné,4,CCCV,4.0,0.75,1.1,['pln'],1,0.9,1.0,0,0.5,8.244590536342239
dobrodružství,13,CVCCVCCVCCCCV,5.5,0.6923076923076923,1.2100000000000002,"['d', 'br', 'dr', 'žstv']",4,0.9,1.5,7,0.23076923076923078,9.528588114805823
než,3,CVC,2.0,0.6666666666666666,1.1,"['n', 'ž']",0,0.9,1.0,0,0.0,9.267583077040351
aby,3,VCV,1.5,0.3333333333333333,1.0,['b'],1,0.9,1.0,0,0.6666666666666666,14.28571428571427
skotačil,8,CCVCVCVC,3.5,0.625,1.1,"['sk', 't', 'č', 'l']",3,0.9,1.8,2,0.25,7.692307692307693
s,1,C,1.5,1.0,1.0,['s'],0,0.9,1.5,0,0.0,14.285714285714286
dětmi,5,CVCCV,2.5,0.6,1.6500000000000001,"['d', 'tm']",1,0.9,1.0,0,0.2,5.343809944985327
venku,5,CVCCV,2.5,0.6,1.0,"['v', 'nk']",2,0.9,1.5,2,0.2,14.285714285714286
Možná,5,CVCCV,2.5,0.6,1.2100000000000002,"['m', 'žn']",1,0.9,1.0,2,0.0,5.918460789496441
k,1,C,1.5,1.0,1.0,['k'],0,0.9,1.0,0,1.0,14.285714285714286
tomu,4,CVCV,2.0,0.5,1.0,"['t', 'm']",1,0.9,1.0,2,0.0,5.333333333333333
přispěla,8,CCVCCVCV,3.5,0.625,1.8150000000000004,"['př', 'sp', 'l']",3,0.9,1.5,4,0.375,8.244590536342237
i,1,V,1.0,0.0,1.0,[],0,0.9,1.0,0,0.0,20.0
nemocná,7,CVCVCCV,3.0,0.5714285714285714,1.1,"['n', 'm', 'cn']",2,0.9,1.0,8,0.0,6.567304688125836
noha,4,CVCV,2.0,0.5,1.0,"['n', 'h']",1,0.9,1.0,2,0.25,14.285714285714286
která,5,CCVCV,2.5,0.6,1.1,"['kt', 'r']",1,0.9,1.0,0,0.2,10.169498633240918
mu,2,CV,1.0,0.5,1.0,['m'],0,0.9,1.0,2,0.0,4.705882352941177
mnohé,5,CCVCV,2.5,0.6,1.1,"['mn', 'h']",1,0.9,1.0,4,0.2,5.980861244019138
neplechy,8,CVCCVCCV,3.5,0.625,1.3,"['n', 'pl', 'ch']",2,0.9,1.0,7,0.5,8.916863795459486
znemožňovala,12,CCVCVCCVCVCV,4.5,0.5833333333333334,1.2100000000000002,"['zn', 'm', 'žň', 'v', 'l']",4,0.9,1.8,7,0.08333333333333333,6.749987231433747
Raději,6,CVCVCV,2.5,0.5,1.6500000000000001,"['r', 'd', 'j']",2,0.9,1.0,2,0.3333333333333333,8.545971792725043
se,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,14.285714285714286
proto,5,CCVCV,2.5,0.6,1.0,"['pr', 't']",1,0.9,1.5,2,0.2,10.169498633240918
ponořil,7,CVCVCVC,3.0,0.5714285714285714,1.1,"['p', 'n', 'ř', 'l']",2,0.9,1.5,4,0.2857142857142857,8.172046741604648
do,2,CV,1.0,0.5,1.0,['d'],0,0.9,1.0,0,0.5,14.285714285714286
příběhů,7,CCVCVCV,3.0,0.5714285714285714,2.63538,"['př', 'b', 'h']",2,0.9,1.0,2,0.42857142857142855,14.285714285714267
plných,6,CCCVCC,3.5,0.8333333333333334,1.4300000000000002,"['pln', 'ch']",2,0.9,1.0,2,0.6666666666666666,8.594235253127366
plížících,9,CCVCVCVCC,4.0,0.6666666666666666,1.5730000000000004,"['pl', 'ž', 'c', 'ch']",3,0.9,1.3,4,0.3333333333333333,8.356878115188543
se,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,14.285714285714286
indiánů,7,VCCVVCV,2.5,0.42857142857142855,1.4520000000000002,"['nd', 'n']",3,0.9,1.0,6,0.14285714285714285,8.172046741604648
odvážných,9,VCCVCCVCC,4.0,0.6666666666666666,1.7303000000000006,"['dv', 'žn', 'ch']",3,0.9,1.8,4,0.3333333333333333,10.699858794853562
zálesáků,8,CVCVCVCV,3.0,0.5,1.4520000000000002,"['z', 'l', 's', 'k']",3,0.9,1.5,0,0.25,8.916863795459486
nebo,4,CVCV,2.0,0.5,1.0,"['n', 'b']",1,0.9,1.0,2,0.25,14.285714285714286
zlotřilých,10,CCVCCVCVCC,4.5,0.7,1.5730000000000004,"['zl', 'tř', 'l', 'ch']",3,0.9,1.5,5,0.4,8.354218880534669
pirátů,6,CVCVCV,2.5,0.5,1.4520000000000002,"['p', 'r', 't']",2,0.9,1.0,0,0.16666666666666666,9.046563424344596
Občas,5,VCCVC,2.5,0.6,1.1,"['bč', 's']",2,0.9,1.0,0,0.2,9.920634920634916
smutně,6,CCVCCV,3.0,0.6666666666666666,1.6500000000000001,"['sm', 'tn']",1,0.9,1.5,3,0.0,6.068105891786792
vyhlédl,7,CVCCVCC,3.5,0.7142857142857143,1.1,"['v', 'hl', 'dl']",2,0.9,1.5,2,0.7142857142857143,8.172046741604648
z,1,C,1.5,1.0,1.0,['z'],0,0.9,1.5,0,0.0,14.285714285714286
okna,4,VCCV,2.0,0.5,1.0,['kn'],1,0.9,1.0,0,0.25,14.285714285714286
na,2,CV,1.0,0.5,1.0,['n'],0,0.9,1.5,0,0.0,14.285714285714286
hrající,7,CCVCVCV,3.0,0.5714285714285714,1.1,"['hr', 'j', 'c']",2,0.9,1.0,0,0.2857142857142857,8.80416293326593
si,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,8.333333333333334
kamarády,8,CVCVCVCV,3.0,0.5,1.1,"['k', 'm', 'r', 'd']",3,0.9,1.0,0,0.375,6.600440340977904
a,1,V,1.0,0.0,1.0,[],0,0.9,1.0,0,0.0,14.285714285714286
sledoval,8,CCVCVCVC,3.5,0.625,1.0,"['sl', 'd', 'v', 'l']",2,0.9,1.5,4,0.375,8.244590536342237
zpovzdálí,9,CCVCCCVCV,4.0,0.6666666666666666,1.2100000000000002,"['zp', 'vzd', 'l']",4,0.9,1.5,4,0.3333333333333333,9.059712472101612
jejich,6,CVCVCC,3.0,0.6666666666666666,1.3,"['j', 'j', 'ch']",2,0.9,1.0,5,0.5,8.333333333333332
rozpustilou,11,CVCCVCCVCVV,4.0,0.5454545454545454,1.2,"['r', 'zp', 'st', 'l']",5,0.9,1.5,6,0.18181818181818182,8.693995885161588
hru,3,CCV,3.0,0.6666666666666666,1.0,['hr'],0,0.9,1.0,0,0.3333333333333333,10.194341384744389
Jednoho,7,CVCCVCV,3.0,0.5714285714285714,1.0,"['j', 'dn', 'h']",2,0.9,1.0,5,0.42857142857142855,8.761702570829662
dne,3,CCV,3.0,0.6666666666666666,1.0,['dn'],0,0.9,1.0,0,0.3333333333333333,14.28571428571427
když,4,CCVC,3.5,0.75,1.1,"['kd', 'ž']",0,0.9,1.0,0,0.75,9.625248562041898
se,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,14.285714285714286
jako,4,CVCV,2.0,0.5,1.0,"['j', 'k']",1,0.9,1.0,0,0.5,8.244590536342239
obvykle,7,VCCVCCV,3.0,0.5714285714285714,1.0,"['bv', 'kl']",2,0.9,1.0,2,0.5714285714285714,8.761702570829664
díval,5,CVCVC,2.5,0.6,1.1,"['d', 'v', 'l']",1,0.9,1.0,0,0.4,8.417508417508419
částečně,8,CVCCVCCV,3.5,0.625,1.9965000000000006,"['č', 'st', 'čn']",3,0.9,1.0,4,0.0,8.774787441505602
ukrytý,6,VCCVCV,2.5,0.5,1.1,"['kr', 't']",2,0.9,1.5,0,0.5,10.194341384744389
za,2,CV,1.0,0.5,1.0,['z'],0,0.9,1.5,0,0.0,14.285714285714286
záclonou,8,CVCCVCVV,3.0,0.5,1.32,"['z', 'cl', 'n']",2,0.9,1.5,5,0.125,8.916863795459486
si,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,8.333333333333334
uvědomil,8,VCVCVCVC,3.0,0.5,1.6500000000000001,"['v', 'd', 'm', 'l']",3,0.9,1.5,4,0.25,5.931185722709963
že,2,CV,1.0,0.5,1.1,['ž'],0,0.9,1.0,0,0.0,8.888888888888886
nějaký,6,CVCVCV,2.5,0.5,1.8150000000000004,"['n', 'j', 'k']",2,0.9,1.0,0,0.5,8.594235253127366
stín,4,CCVC,3.5,0.75,1.1,"['st', 'n']",1,0.9,1.5,0,0.0,10.338229937007968
se,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,14.285714285714286
jako,4,CVCV,2.0,0.5,1.0,"['j', 'k']",1,0.9,1.0,0,0.5,8.244590536342239
blesk,5,CCVCC,4.0,0.8,1.0,"['bl', 'sk']",1,0.9,1.0,0,0.6,8.417508417508419
pohybuje,8,CVCVCVCV,3.0,0.5,1.0,"['p', 'h', 'b', 'j']",3,0.9,1.5,4,0.625,8.916863795459486
po,2,CV,1.0,0.5,1.0,['p'],0,0.9,1.5,0,0.5,14.285714285714286
stromě,6,CCCVCV,3.0,0.6666666666666666,1.6500000000000001,"['str', 'm']",2,0.9,1.5,0,0.0,5.953590933339838
nahoru,6,CVCVCV,2.5,0.5,1.0,"['n', 'h', 'r']",2,0.9,1.5,4,0.16666666666666666,10.661019103855828
a,1,V,1.0,0.0,1.0,[],0,0.9,1.0,0,0.0,14.285714285714286
dolů,4,CVCV,2.0,0.5,1.32,"['d', 'l']",1,0.9,1.0,0,0.5,8.244590536342239
Malá,4,CVCV,2.0,0.5,1.1,"['m', 'l']",1,0.9,1.0,0,0.25,4.952005404599566
hnědá,5,CCVCV,2.5,0.6,1.8150000000000004,"['hn', 'd']",1,0.9,1.0,2,0.4,14.285714285714286
a,1,V,1.0,0.0,1.0,[],0,0.9,1.0,0,0.0,14.285714285714286
velice,6,CVCVCV,2.5,0.5,1.0,"['v', 'l', 'c']",2,0.9,2.0,7,0.16666666666666666,8.127136196233101
hbitá,5,CCVCV,2.5,0.6,1.1,"['hb', 't']",2,0.9,1.0,0,0.4,8.680555555555555
veverka,7,CVCVCCV,3.0,0.5714285714285714,1.0,"['v', 'v', 'rk']",3,0.9,2.0,6,0.14285714285714285,10.803052451725982
šmejdila,8,CCVCCVCV,3.5,0.625,1.1,"['šm', 'jd', 'l']",3,0.9,1.0,3,0.375,5.613033798193691
po,2,CV,1.0,0.5,1.0,['p'],0,0.9,1.5,0,0.5,14.285714285714286
stromě,6,CCCVCV,3.0,0.6666666666666666,1.6500000000000001,"['str', 'm']",2,0.9,1.5,0,0.0,5.953590933339838
a,1,V,1.0,0.0,1.0,[],0,0.9,1.0,0,0.0,14.285714285714286
hledala,7,CCVCVCV,3.0,0.5714285714285714,1.0,"['hl', 'd', 'l']",2,0.9,1.0,2,0.5714285714285714,8.172046741604648
oříšky,6,VCVCCV,2.5,0.5,1.3310000000000004,"['ř', 'šk']",3,0.9,1.0,0,0.3333333333333333,10.165157750188113
které,5,CCVCV,2.5,0.6,1.1,"['kt', 'r']",1,0.9,1.0,0,0.2,10.169498633240918
by,2,CV,1.0,0.5,1.0,['b'],0,0.9,1.0,0,1.0,14.285714285714286
si,2,CV,1.0,0.5,1.0,['s'],0,0.9,1.5,0,0.0,8.333333333333334
uschovala,9,VCCCVCVCV,3.5,0.5555555555555556,1.3,"['sch', 'v', 'l']",4,0.9,1.5,2,0.2222222222222222,9.059712472101612
do,2,CV,1.0,0.5,1.0,['d'],0,0.9,1.0,0,0.5,14.285714285714286
tajné,5,CVCCV,2.5,0.6,1.1,"['t', 'jn']",2,0.9,1.0,0,0.2,8.680555555555555
skrýše,6,CCCVCV,3.0,0.6666666666666666,1.2100000000000002,"['skr', 'š']",2,0.9,1.5,2,0.3333333333333333,9.056779945936588
