syllable,row,column,syllable_type,difficulty_score,positional_difficulty,cluster_density,orthographic_transparency,consonant_clusters,letter_confusability,ascender_descender_density,spatial_crowding,neighborhood_density,dyslexia_difficulty
ma,1,1,CV,1.0,0.13421772800000006,0.5,1.0,['m'],0,0.0,4.705882352941177,4,0.36526531840000004
si,1,2,CV,1.0,0.13690208256000005,0.5,1.0,['s'],0,0.0,8.333333333333334,2,0.366070624768
mu,1,3,CV,1.0,0.13958643712000007,0.5,1.0,['m'],2,0.0,4.705882352941177,5,0.8668759311359999
zu,1,4,CV,1.0,0.14227079168000006,0.5,1.0,['z'],0,0.0,14.285714285714286,5,0.36768123750400006
da,1,5,CV,1.0,0.14495514624000008,0.5,1.0,['d'],0,0.5,14.285714285714286,3,0.368486543872
jo,1,6,CV,1.0,0.14763950080000007,0.5,1.0,['j'],0,0.5,8.333333333333334,2,0.36929185024
ke,1,7,CV,1.0,0.1503238553600001,0.5,1.0,['k'],0,0.5,14.285714285714286,5,0.370097156608
py,1,8,CV,1.0,0.15300820992000005,0.5,1.0,['p'],0,1.0,14.285714285714286,1,0.37090246297600005
za,1,9,CV,1.0,0.1556925644800001,0.5,1.0,['z'],0,0.0,14.285714285714286,4,0.37170776934400007
vo,2,1,CV,1.0,0.1677721600000001,0.5,1.0,['v'],0,0.0,14.285714285714286,4,0.3753316480000001
lu,2,2,CV,1.0,0.1711276032000001,0.5,1.0,['l'],0,0.5,8.333333333333334,3,0.37633828096000005
re,2,3,CV,1.0,0.1744830464000001,0.5,1.0,['r'],0,0.0,10.256410256410259,5,0.37734491392
vi,2,4,CV,1.0,0.1778384896000001,0.5,1.0,['v'],0,0.0,8.333333333333334,3,0.37835154688000006
zo,2,5,CV,1.0,0.1811939328000001,0.5,1.0,['z'],0,0.0,14.285714285714286,4,0.37935817984000003
be,2,6,CV,1.0,0.1845493760000001,0.5,1.0,['b'],0,0.5,14.285714285714286,5,0.3803648128
ru,2,7,CV,1.0,0.18790481920000013,0.5,1.0,['r'],0,0.0,10.256410256410259,4,0.38137144576000004
pe,2,8,CV,1.0,0.19126026240000008,0.5,1.0,['p'],0,0.5,14.285714285714286,5,0.38237807872
te,2,9,CV,1.0,0.19461570560000013,0.5,1.0,['t'],0,0.0,10.256410256410259,4,0.38338471168000005
suk,3,1,CVC,2.0,0.41943040000000015,0.6666666666666666,1.0,"['s', 'k']",0,0.3333333333333333,14.28571428571427,0,0.4924957866666667
mák,3,2,CVC,2.0,0.42781900800000017,0.6666666666666666,1.1,"['m', 'k']",0,0.3333333333333333,5.177669529663688,0,0.5150123690666668
nos,3,3,CVC,2.0,0.4362076160000002,0.6666666666666666,1.0,"['n', 's']",0,0.0,14.28571428571427,1,0.4975289514666667
sen,3,4,CVC,2.0,0.4445962240000002,0.6666666666666666,1.0,"['s', 'n']",0,0.0,14.28571428571427,1,0.5000455338666667
výr,3,5,CVC,2.0,0.45298483200000017,0.6666666666666666,1.1,"['v', 'r']",0,0.3333333333333333,10.194341384744389,0,0.5225621162666667
mech,3,6,CVCC,3.0,0.6920601600000003,0.75,1.3,"['m', 'ch']",2,0.25,5.612445385133758,0,1.155118048
len,3,7,CVC,2.0,0.4697620480000002,0.6666666666666666,1.0,"['l', 'n']",0,0.3333333333333333,8.127136196233101,1,0.5075952810666667
gól,3,8,CVC,2.0,0.4781506560000001,0.6666666666666666,1.1,"['g', 'l']",0,0.6666666666666666,8.127136196233101,0,0.5301118634666667
cíp,3,9,CVC,2.0,0.48653926400000025,0.6666666666666666,1.1,"['c', 'p']",0,0.3333333333333333,14.28571428571427,0,0.5326284458666668
nov,4,1,CVC,2.0,0.5242880000000002,0.6666666666666666,1.0,"['n', 'v']",0,0.0,14.28571428571427,2,0.5239530666666667
lar,4,2,CVC,2.0,0.5347737600000002,0.6666666666666666,1.0,"['l', 'r']",0,0.3333333333333333,9.1751709536137,0,0.5270987946666668
for,4,3,CVC,2.0,0.5452595200000002,0.6666666666666666,1.0,"['f', 'r']",0,0.3333333333333333,10.730885668151988,0,0.5302445226666668
zul,4,4,CVC,2.0,0.5557452800000002,0.6666666666666666,1.0,"['z', 'l']",0,0.3333333333333333,8.127136196233101,0,0.5333902506666668
bed,4,5,CVC,2.0,0.5662310400000002,0.6666666666666666,1.0,"['b', 'd']",2,0.6666666666666666,14.28571428571427,0,1.0365359786666668
lum,4,6,CVC,2.0,0.5767168000000003,0.6666666666666666,1.0,"['l', 'm']",2,0.3333333333333333,4.463906900739935,0,1.0396817066666668
nev,4,7,CVC,2.0,0.5872025600000003,0.6666666666666666,1.0,"['n', 'v']",0,0.0,14.28571428571427,1,0.5428274346666668
zek,4,8,CVC,2.0,0.5976883200000002,0.6666666666666666,1.0,"['z', 'k']",0,0.3333333333333333,14.28571428571427,0,0.5459731626666666
vod,4,9,CVC,2.0,0.6081740800000003,0.6666666666666666,1.0,"['v', 'd']",0,0.3333333333333333,14.28571428571427,0,0.5491188906666667
vl,5,1,CC,3.0,0.9830400000000002,1.0,1.0,['vl'],0,0.5,8.333333333333334,5,0.744912
bz,5,2,CC,3.0,1.0027008000000002,1.0,1.0,['bz'],0,0.5,14.285714285714286,1,0.7508102400000001
hr,5,3,CC,3.0,1.0223616000000002,1.0,1.0,['hr'],0,0.5,10.256410256410259,3,0.7567084800000001
dr,5,4,CC,3.0,1.0420224000000002,1.0,1.0,['dr'],0,0.5,10.256410256410259,4,0.76260672
sl,5,5,CC,3.0,1.0616832000000003,1.0,1.0,['sl'],0,0.5,8.333333333333334,4,0.76850496
kr,5,6,CC,3.0,1.0813440000000003,1.0,1.0,['kr'],0,0.5,10.256410256410259,4,0.7744032000000001
ol,5,7,VC,1.5,0.5505024000000002,0.5,1.0,['l'],0,0.5,8.333333333333334,3,0.4901507200000001
ml,5,8,CC,3.0,1.1206656000000002,1.0,1.0,['ml'],0,0.5,3.8095238095238093,5,0.78619968
fr,5,9,CC,3.0,1.1403264000000004,1.0,1.0,['fr'],0,0.5,16.666666666666668,3,0.79209792
tra,6,1,CCV,3.0,1.2288000000000001,0.6666666666666666,1.0,['tr'],0,0.0,10.730885668151988,0,0.7353066666666668
mle,6,2,CCV,3.0,1.253376,0.6666666666666666,1.0,['ml'],0,0.3333333333333333,4.463906900739935,2,0.7426794666666667
tve,6,3,CCV,3.0,1.2779520000000002,0.6666666666666666,1.0,['tv'],0,0.0,10.194341384744389,0,0.7500522666666667
kro,6,4,CCV,3.0,1.3025280000000001,0.6666666666666666,1.0,['kr'],0,0.3333333333333333,10.194341384744389,2,0.7574250666666666
dlu,6,5,CCV,3.0,1.3271040000000003,0.6666666666666666,1.0,['dl'],0,0.6666666666666666,8.127136196233101,2,0.7647978666666668
sku,6,6,CCV,3.0,1.3516800000000002,0.6666666666666666,1.0,['sk'],0,0.3333333333333333,14.28571428571427,0,0.7721706666666668
bru,6,7,CCV,3.0,1.3762560000000004,0.6666666666666666,1.0,['br'],0,0.3333333333333333,10.194341384744389,1,0.7795434666666667
pla,6,8,CCV,3.0,1.400832,0.6666666666666666,1.0,['pl'],0,0.6666666666666666,8.127136196233101,1,0.7869162666666667
klu,6,9,CCV,3.0,1.4254080000000002,0.6666666666666666,1.0,['kl'],0,0.6666666666666666,8.127136196233101,2,0.7942890666666667
vle,7,1,CCV,3.0,1.5360000000000005,0.6666666666666666,1.0,['vl'],0,0.3333333333333333,8.127136196233101,2,0.8274666666666668
tra,7,2,CCV,3.0,1.5667200000000006,0.6666666666666666,1.0,['tr'],0,0.0,10.730885668151988,0,0.8366826666666669
mru,7,3,CCV,3.0,1.5974400000000006,0.6666666666666666,1.0,['mr'],2,0.0,4.831502716709735,1,1.3458986666666668
čle,7,4,CCV,3.0,1.6281600000000005,0.6666666666666666,1.1,['čl'],0,0.3333333333333333,6.6749164809654715,2,0.8751146666666667
chlu,7,5,CCCV,4.0,2.2118400000000005,0.75,1.3,['chl'],0,0.5,8.244590536342239,0,1.1110520000000002
pro,7,6,CCV,3.0,1.6896000000000007,0.6666666666666666,1.0,['pr'],0,0.3333333333333333,10.194341384744389,2,0.8735466666666669
zlu,7,7,CCV,3.0,1.7203200000000007,0.6666666666666666,1.0,['zl'],0,0.3333333333333333,8.127136196233101,2,0.8827626666666668
sla,7,8,CCV,3.0,1.7510400000000004,0.6666666666666666,1.0,['sl'],0,0.3333333333333333,8.127136196233101,1,0.8919786666666667
fro,7,9,CCV,3.0,1.7817600000000007,0.6666666666666666,1.0,['fr'],0,0.3333333333333333,10.730885668151988,2,0.9011946666666668
pluh,8,1,CCVC,3.5,2.24,0.75,1.0,"['pl', 'h']",0,0.75,8.244590536342239,0,1.0595
hrom,8,2,CCVC,3.5,2.2848,0.75,1.0,"['hr', 'm']",0,0.25,5.333333333333333,0,1.07294
mlýn,8,3,CCVC,3.5,2.3296,0.75,1.1,"['ml', 'n']",2,0.5,4.952005404599565,0,1.60638
dnes,8,4,CCVC,3.5,2.3744000000000005,0.75,1.0,"['dn', 's']",0,0.25,14.285714285714286,0,1.0998200000000002
plot,8,5,CCVC,3.5,2.4192000000000005,0.75,1.0,"['pl', 't']",0,0.5,8.747202683450883,1,1.1132600000000001
zvuk,8,6,CCVC,3.5,2.4640000000000004,0.75,1.0,"['zv', 'k']",0,0.25,14.285714285714286,0,1.1267
vnuk,8,7,CCVC,3.5,2.5088000000000004,0.75,1.0,"['vn', 'k']",2,0.25,14.285714285714286,0,1.64014
lhář,8,8,CCVC,3.5,2.5536,0.75,1.2100000000000002,"['lh', 'ř']",0,0.5,8.244590536342239,0,1.19558
kmen,8,9,CCVC,3.5,2.5984000000000007,0.75,1.0,"['km', 'n']",2,0.25,5.612445385133758,0,1.6670200000000002
vpád,9,1,CCVC,3.5,2.8000000000000003,0.75,1.1,"['vp', 'd']",2,0.5,14.285714285714286,0,1.7475
stop,9,2,CCVC,3.5,2.8560000000000003,0.75,1.0,"['st', 'p']",0,0.25,10.338229937007968,0,1.2443000000000002
hned,9,3,CCVC,3.5,2.9120000000000004,0.75,1.0,"['hn', 'd']",2,0.5,14.285714285714286,0,1.7611
vkus,9,4,CCVC,3.5,2.9680000000000004,0.75,1.0,"['vk', 's']",0,0.25,14.285714285714286,0,1.2779
chlup,9,5,CCCVC,4.5,3.8880000000000003,0.8,1.3,"['chl', 'p']",0,0.6,8.417508417508419,0,1.6264
zrak,9,6,CCVC,3.5,3.0800000000000005,0.75,1.0,"['zr', 'k']",0,0.25,10.338229937007968,1,1.3115
plat,9,7,CCVC,3.5,3.1360000000000006,0.75,1.0,"['pl', 't']",0,0.5,8.747202683450883,1,1.3283
vrak,9,8,CCVC,3.5,3.192,0.75,1.0,"['vr', 'k']",0,0.25,10.338229937007968,1,1.3451
zvon,9,9,CCVC,3.5,3.2480000000000007,0.75,1.0,"['zv', 'n']",0,0.0,14.285714285714286,0,1.3619
tvrz,10,1,CCCC,3.0,3.0,1.0,1.0,['tvrz'],0,0.0,10.256410256410259,0,1.3499999999999999
skrz,10,2,CCCC,3.0,3.06,1.0,1.0,['skrz'],0,0.25,10.338229937007966,0,1.3679999999999999
smrt,10,3,CCCC,3.0,3.12,1.0,1.0,['smrt'],0,0.0,5.22592801900792,1,1.386
brnk,10,4,CCCC,3.0,3.18,1.0,1.0,['brnk'],0,0.5,10.338229937007968,0,1.404
smrk,10,5,CCCC,3.0,3.24,1.0,1.0,['smrk'],0,0.25,5.333333333333333,1,1.422
blesk,10,6,CCVCC,4.0,4.4,0.8,1.0,"['bl', 'sk']",0,0.6,8.417508417508419,0,1.72
štěrk,10,7,CCVCC,4.0,4.48,0.8,1.8150000000000004,"['št', 'rk']",0,0.2,8.411381104452262,0,1.907
kvést,10,8,CCVCC,4.0,4.56,0.8,1.1,"['kv', 'st']",0,0.2,10.504201680672269,0,1.7879999999999998
bronz,10,9,CCVCC,4.0,4.640000000000001,0.8,1.0,"['br', 'nz']",0,0.2,10.504201680672269,0,1.792
